Ruta,X,Y,Direccion
7,21.862664,-102.241477,1
7,21.864067,-102.242734,1
7,21.865201,-102.242317,1
7,21.865313,-102.242355,1
7,21.865517,-102.242666,1
7,21.863814,-102.243334,1
7,21.862673,-102.244085,1
7,21.862243,-102.244373,1
7,21.862377,-102.245928,1
7,21.863314,-102.245845,1
7,21.863523,-102.247864,1
7,21.860312,-102.249513,1
7,21.858241,-102.250559,1
7,21.856915,-102.251937,1
7,21.856201,-102.253068,1
7,21.855201,-102.256982,1
7,21.853216,-102.265418,1
7,21.852219,-102.269325,1
7,21.855825,-102.269411,1
7,21.860041,-102.269437,1
7,21.860136,-102.275382,1
7,21.860159,-102.282782,1
7,21.862622,-102.282731,1
7,21.866298,-102.282065,1
7,21.866577,-102.282387,1
7,21.866207,-102.286042,1
7,21.865473,-102.293978,1
7,21.871014,-102.295075,1
7,21.872175,-102.295075,1
7,21.873169,-102.295024,1
7,21.875656,-102.295024,1
7,21.876473,-102.295206,1
7,21.878486,-102.295946,1
7,21.879101,-102.296111,1
7,21.880321,-102.296469,1
7,21.881102,-102.296558,1
7,21.882168,-102.297107,1
7,21.883944,-102.297847,1
7,21.884772,-102.297757,1
7,21.885708,-102.297438,1
7,21.886696,-102.297037,1
7,21.886955,-102.296884,1
7,21.886935,-102.296833,2
7,21.886838,-102.296443,2
7,21.886758,-102.296385,2
7,21.886411,-102.296272,2
7,21.885465,-102.295933,2
7,21.884875,-102.295699,2
7,21.884052,-102.295304,2
7,21.883762,-102.295291,2
7,21.882999,-102.295036,2
7,21.882271,-102.294838,2
7,21.881489,-102.294576,2
7,21.881263,-102.295545,2
7,21.881313,-102.295719,2
7,21.881038,-102.296736,2
7,21.880651,-102.297631,2
7,21.880517,-102.297654,2
7,21.879764,-102.297404,2
7,21.878546,-102.297055,2
7,21.878174,-102.296971,2
7,21.875934,-102.296424,2
7,21.875297,-102.296306,2
7,21.873863,-102.297025,2
7,21.872649,-102.297679,2
7,21.871404,-102.297776,2
7,21.871046,-102.297733,2
7,21.869881,-102.297475,2
7,21.868188,-102.297862,2
7,21.866147,-102.298269,2
7,21.863986,-102.298709,2
7,21.864175,-102.299911,2
7,21.866236,-102.299492,2
7,21.866097,-102.298623,2
7,21.865838,-102.297411,2
7,21.865559,-102.295662,2
7,21.865301,-102.294203,2
7,21.865869,-102.288782,2
7,21.866291,-102.284959,2
7,21.866425,-102.282576,2
7,21.866347,-102.282334,2
7,21.866185,-102.282227,2
7,21.865425,-102.282447,2
7,21.863572,-102.282646,2
7,21.861445,-102.282844,2
7,21.860106,-102.282772,2
7,21.860055,-102.278171,2
7,21.859955,-102.275519,2
7,21.859891,-102.269534,2
7,21.855828,-102.269448,2
7,21.852084,-102.269276,2
7,21.853538,-102.263697,2
7,21.854693,-102.258612,2
7,21.856267,-102.252689,2
7,21.856565,-102.252088,2
7,21.857641,-102.250908,2
7,21.859991,-102.249514,2
7,21.862391,-102.248283,2
7,21.862081,-102.247676,2
7,21.861096,-102.246781,2
7,21.860068,-102.246037,2
7,21.863757,-102.243397,2
7,21.865503,-102.242684,2
7,21.865321,-102.242368,2
7,21.864784,-102.241778,2
7,21.863439,-102.240561,2
10,21.833318,-102.293602,1
10,21.836578,-102.293574,1
10,21.840042,-102.293657,1
10,21.841377,-102.293524,1
10,21.841481,-102.295014,1
10,21.841616,-102.297359,1
10,21.841761,-102.299048,1
10,21.841955,-102.301383,1
10,21.843783,-102.301476,1
10,21.845496,-102.301476,1
10,21.848011,-102.301195,1
10,21.849636,-102.301122,1
10,21.850416,-102.304566,1
10,21.851093,-102.307409,1
10,21.851671,-102.310413,1
10,21.852467,-102.312784,1
10,21.853075,-102.314716,1
10,21.853582,-102.315799,1
10,21.854185,-102.317065,1
10,21.854981,-102.316604,1
10,21.855838,-102.315987,1
10,21.857785,-102.314667,1
10,21.859064,-102.313975,1
10,21.860971,-102.312892,1
10,21.862813,-102.311819,1
10,21.864147,-102.311014,1
10,21.865989,-102.309925,1
10,21.867836,-102.308815,1
10,21.871237,-102.306776,1
10,21.871854,-102.306197,1
10,21.872292,-102.304373,1
10,21.873128,-102.302292,1
10,21.873935,-102.300704,1
10,21.875179,-102.300929,1
10,21.877131,-102.301165,1
10,21.878744,-102.301444,1
10,21.880038,-102.301508,1
10,21.880715,-102.301444,1
10,21.880815,-102.301079,1
10,21.882089,-102.300886,1
10,21.882129,-102.299513,1
10,21.882746,-102.298011,1
10,21.882925,-102.297474,1
10,21.883881,-102.297871,1
10,21.884498,-102.297807,1
10,21.885663,-102.297506,1
10,21.886977,-102.296884,1
10,21.887784,-102.296466,1
10,21.888909,-102.295822,1
10,21.890063,-102.295092,1
10,21.890979,-102.295661,1
10,21.891945,-102.296348,1
10,21.893876,-102.296991,1
10,21.896425,-102.297807,1
10,21.898993,-102.298579,1
10,21.902019,-102.299545,1
10,21.903323,-102.299931,1
10,21.903463,-102.298086,1
10,21.903602,-102.296391,1
10,21.907375,-102.296788,1
10,21.915696,-102.297624,1
10,21.925092,-102.298096,1
10,21.929272,-102.298311,1
10,21.934646,-102.297796,1
10,21.936995,-102.297152,1
10,21.945792,-102.297496,1
10,21.949295,-102.296723,1
10,21.945912,-102.297367,2
10,21.937074,-102.297109,2
